ResonceID,wireless.network.dissatisfaction.factor,wireless.network.dissatisfaction.text,wireless.network.feedback,myslice.satisfied,myslice.dissatisfation.factor,myslice.dissatisfation.text,myslice.feedback,video.conferencing.use,zoom.satisfied,zoom.dissatisfaction.factor,zoom.dissatisfaction.text,teams.vid.satisfied,teams.vid.dissatisfaction.factor,teams.vid.dissatisfaction.text,balance.security.usability,security.min.impact.on.work,security.effective.communication,security.know.who.to.talk.to,security.yearly.training,security.feedback,teach.2021-22,teach.platforms,blackboard.satisfied,blackboard.dissatisfation.factor,blackboard.dissatisfation.text,kaltura.satisfied,kaltura.dissatisfation.factor,kaltura.dissatisfation.text,playposit.satisfied,playposit.dissatisfation.factor,playposit.dissatisfation.text,google.suite.satisfied,google.suite.dissatisfation.factor,google.suite.dissatisfation.text,teaching.tools.find.information,teaching.tools.help.support,teaching.tools.communication,teaching.tools.feedback,assistive.tech.use,assistive.tech.use.list,assistive.tech.use.text,syracuse.edu.navigation,syracuse.edu.organization,accessibility.feedback,accessibility.policy.knowlege,accessibility.doc.creation.impact,accessibility.aware.toolkit,accessibility.professional.development,accessibility.feedback,campus.resources.text,it.challenges.text.1,it.challenges.text.2,it.challenges.text.3
1,,,none,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,,Agree,Somewhat agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,,,,,
2,"Ease of connection,Speed",,,Disagree,Ease of use,,,Yes,Strongly agree,,,Disagree,"Picture quality,Sound quality",,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Disagree,,Disagree,Agree,,,,,
3,,,,Agree,,,,Yes,Strongly agree,,,Agree,,,Strongly agree,Strongly agree,Agree,Disagree,Strongly disagree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,,,,,
4,,,,Agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Somewhat agree,,Somewhat agree,Somewhat disagree,Agree,Agree,,,,,
5,,,,Agree,,,,Yes,Agree,,,Strongly agree,,,Agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat disagree,Strongly disagree,Agree,Strongly agree,,,We need an approved project management software package. ,,
6,,,,Strongly agree,,,,Yes,Agree,,,Agree,,,Strongly agree,Agree,,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Somewhat agree,Agree,,,,,,,
7,,,,Agree,,,"Clearer directions, help contact information, and info in Answers would be helpful",Yes,Strongly agree,,,Agree,,,Agree,Agree,Agree,Somewhat agree,Agree,Was happy using the SURA VPN for off-campus access on my own equipment.,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,"Harder to find detailed information then in the past. Some of this because it is now on Answers.  Hard to get faculty information consistently across schools and colleges.  Especially telephone numbers, office numbers and mailing addresses.",Agree,Somewhat disagree,Disagree,Strongly agree,More training needs to be provided. It is not easy to do!,Help desk; purchase of new equipment,,,
8,,,,Disagree,"Ease of use,Platform features",,,Yes,Strongly agree,,,Disagree,"Ease of use,Picture quality,Sound quality",,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat disagree,,Somewhat disagree,,,,,,Outdated technology like laptops and cell phone; need more frequent updates and newer hardware,,
9,,,,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,Agree,,,,Yes,Agree,,,Agree,,,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,"I find syracuse.edu is usually not how I navigate, I usually google something specific then wind up on a syracuse.edu page.  Plus IMO syracuse.edu is more for marketing / new students / etc. Not employees / enrolled students. Coming from being a student for 7 years and a employee for 4.",Agree,Agree,Somewhat disagree,Somewhat disagree,,,,,
11,,,,Strongly agree,,,,Yes,Strongly agree,,,Agree,,,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Somewhat agree,Agree,Somewhat disagree,,,,,
12,,,,Strongly agree,,,,Yes,Strongly agree,,,,,,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Disagree,Agree,,,,,
13,,,,Strongly agree,,,,Yes,,,,Agree,,,Strongly agree,Agree,Agree,Strongly agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Agree,Agree,,,,,
14,,,,Somewhat agree,,,,No,,,,,,,Strongly agree,Strongly agree,Agree,,,,Yes,Blackboard,Agree,,,,,,,,,,,,Strongly agree,Strongly agree,,,No,,,Agree,Agree,,Somewhat agree,,,,,,aging of laptops,low level of monetary support CAS accords faculty technological needs,
15,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,,,,,,,,
16,,,,Strongly agree,,,,Yes,Strongly agree,,,Somewhat agree,,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Agree,Disagree,Somewhat agree,Agree,,,,,
17,,,,Agree,,,,Yes,Strongly agree,,,Somewhat agree,,,Agree,Agree,Agree,Strongly agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,Somewhat agree,Agree,Somewhat agree,,,,,
18,,,Can be spotty.,Agree,,,Can be difficult to navigate when trying to find something in employee resources,Yes,Strongly agree,,,Somewhat disagree,"Ease of use,Other",Not a fan of features compared to zoom,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Strongly agree,Agree,Strongly agree,Somewhat disagree,,,,,
19,,,"Since we don't have a physical presence in DC, I no longer use AirOrangeX unless on campus.",Agree,,,,Yes,Agree,,,Agree,,,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Somewhat agree,Somewhat agree,,,"It has always been a challenge to install large updates remotely. Recently, I have been advised to hardwire my internet connection rather than use wifi and that has worked sufficiently enough, but I feel like download speeds for regional partners are always impacted by speed and sometimes the download stops in the middle.",,
20,,,I find it to be spotty at times even within the building I work in.  ,Strongly disagree,"Ease of use,Platform reliability",,"The platform switch to icons rather than headers and list has made it difficult to quickly find the information you are looking for.  Now it is more of a click and hunt for link rather than being able to read through a list of links.  In addition I have had to click on links such as in timesheet approvals, faculty advising and employee services to get a page to load.  Many times I just get kicked out and this has happened across different browsers and computer types.",No,,,,,,,Disagree,Strongly Disagree,Somewhat agree,Agree,Disagree,The lack of admin accounts on managed computers is a major issue for people who use many different bioinformatic programs and statistical packages.  We are continually having to add new programs to our computers and the lack of admin access to a  managed computer (which is usually very slowed because of the software operating in the background) has forced me to use my personal computer or my research.,Yes,Blackboard,Somewhat disagree,Ease of use,,,,,,,,,,,Somewhat agree,Agree,Somewhat agree,,No,,,Somewhat disagree,Somewhat disagree,,Agree,Somewhat disagree,Disagree,Disagree,,,,,
21,,,,Strongly agree,,,,Yes,Strongly agree,,,,,,Strongly agree,,Strongly agree,Agree,Somewhat agree,,Yes,Blackboard,Agree,,,,,,,,,,,,Somewhat disagree,Somewhat disagree,Agree,,No,,,,Disagree,,Somewhat agree,Agree,Disagree,Somewhat disagree,,,,,
22,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat disagree,Somewhat disagree,,Agree,Agree,Agree,Agree,,,,,
23,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat disagree,Agree,Disagree,Disagree,,,,,
24,,,,Somewhat agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,Yes,"Kaltura,Google Suite",,,,Strongly agree,,,,,,Strongly agree,,,Strongly agree,Strongly agree,Agree,,No,,,Agree,Disagree,There is no research button on the SU home page! This makes us look like we do not take research seriously.,Strongly agree,Strongly agree,Agree,Agree,,,,,
25,,,"There are still some areas of the building where wifi is a bit spotty, but overall it works well.",Agree,,,I'd really like the option to set the default page of MySlice to the Employee view. I am not a student and do not often need to look at the student information.,Yes,Strongly agree,,,Agree,,,Agree,Agree,Agree,Strongly agree,Agree,The 2FA through my phone is annoying but necessary for security. My complaint is that I have to use a personal device that I pay for in order to access my work equipment.,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Agree,Strongly agree,Strongly agree,Agree,,Most resources work just fine,"This complaint is on behalf of the students I interface with: The printing situation is terrible. It's overly complicated and frequently doesn't work. They don't understand the print quota system, and it isn't communicated well to them when they start school here.","A lot of the equipment is outdated. I understand budget constraints, but the delay in refreshing old equipment can get to the point where things just plain don't work.",
26,,,,Somewhat disagree,"Ease of use,Platform reliability,Other",The tiles keep moving around and nothing is named in an intuitive way,,Yes,Agree,,,Somewhat agree,,,Somewhat agree,Disagree,Disagree,Somewhat disagree,Strongly disagree,Stop forcing mandatory password changes. It's no longer considered best practices at many institutions ,Yes,Blackboard,Somewhat agree,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,,No,,,Strongly disagree,Strongly disagree,Why is it so hard to find information on SU websites? Allowing every college to maintain its own website leads to inconsistency in finding basic contact information,Strongly disagree,,,,,,,,
27,,,,Agree,,,,Yes,Strongly agree,,,Strongly agree,,,,Strongly agree,Agree,Strongly agree,,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Strongly agree,Somewhat disagree,Disagree,,"Recently, I have good experiences with the LEMP team's assistance running very large meetings. ",,,
28,Other,Happy with AirOrangex,,Agree,,,,Yes,Agree,,,Agree,,,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Agree,Agree,Strongly agree,Agree,,"I am on the computer for most of my work day.  I have very few issues when working and when I do, they get addresses in a very timely manner.",n/a,n/a,n/a
29,,,,Strongly agree,,,,Yes,Strongly agree,,,Strongly agree,,,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat agree,,No,,,,,,,,,,,,,,,,,,No,,,Agree,Agree,,Somewhat agree,Agree,Somewhat agree,Somewhat agree,,,,,
30,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Disagree,,No,,,,,,,,,,,,,,,,,,No,,,,,,Somewhat disagree,Somewhat disagree,Agree,Agree,,,,,
31,,,,Agree,,,,Yes,Agree,,,Agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Strongly agree,Agree,,Agree,Agree,Agree,Agree,,,,,
32,Other,i am now 100% remote,,Somewhat agree,,,,Yes,Somewhat agree,,,Strongly agree,,,Agree,Agree,Agree,Agree,Agree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Agree,Agree,,Orange Success is complete garbage!  The only useful tool is appointment link for appointments. ,,,
33,,,"frequently get kicked off on my iphone. On my desktop, takes restarts during the day to connect to g drive",Somewhat agree,,,,Yes,Somewhat agree,,,Somewhat agree,,,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,,No,,,,,,,,,,,,,,,,,,No,,,Somewhat agree,Somewhat agree,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,
